name,artist,videoID,emotion
あなたのキスを数えましょう 〜You were mine〜,Yuki Koyanagi,vhSng8rgOw4,angry
secret base ~君がくれたもの~,ZONE,fRQtDjiRtI8,angry
シルエット,KANA-BOON,ZFoJYI7Q4iA,angry
AM11:00,HY,-eVcW-b1ITA,angry
Sign,Mr.Children,4wuWJ7GAc2s,angry
キセキ,GReeeeN,DwTinTO0o9I,angry
PINK SWEET,BBY NABE,8CEJoCr_9UI,angry
キセキ,GReeeeN,DwTinTO0o9I,angry
Ambitious,Superfly,K1p19_5pr7A,angry
足音 ~Be Strong,Mr.Children,ShhoC3nHX8E,angry
Brand new planet,Mr.Children,pczkqXFlwWc,angry
SEASONS,Ayumi Hamasaki,nZqwQCLYgjk,angry
君がくれた夏,Leo Ieiri,9qhJ1vhTH7A,angry
別の人の彼女になったよ,wacci,szFhwZ52NyY,angry
