name,artist,videoID,emotion
もう恋なんてしない,Noriyuki Makihara,naz0-szzYXk,happy
ハルノヒ,Aimyon,pfGI91CFtRg,happy
風になる,Tsuji Ayano,lHWVOfC41L4,happy
Show,Ado,pgXpM4l_MwI,happy
可愛くてごめん,HoneyWorks,K4xLi8IF1FM,happy
きらり,Fujii Kaze,TcLLpZBWsck,happy
ズルい女,Sharam Q,bplLbHAGSAM,happy
Gaston,Takashi Fujii,qI7ZkIPbrDc,happy
美しい鰭,SPITZ,KbGPM9jFeGg,happy
"Strange Things - From ""Toy Story"" / Japanese Version",Diamond Yukai,BGHf_cW0NHE,happy
on my own way,Tohji,TSgXj7Iq3CA,happy
SWEET 19 BLUES,Namie Amuro,sAseQGeATH8,happy
君がくれた夏,Leo Ieiri,9qhJ1vhTH7A,happy
これが私の生きる道,Puffy AmiYumi,8RXUBBKAIs0,happy
Left and Right (Feat. Jung Kook of BTS),Charlie Puth,a7GITgqwDVg,happy
ダンスホール,Mrs. GREEN APPLE,x2rvSf0STBM,happy
Burning Friday Night,Lucky Kilimanjaro,KftLSF5mAjE,happy
田園,Koji Tamaki,j5O3kKfICXc,happy
